clip_id,title,url,channel,duration_sec,selection_reason,priority_tier,start_hint_sec,extraction_policy,notes,goldset_candidate,manifest_index,clip_path,run_status,run_dir,semantic_status,coaching_mode,top_action_count,no_material_intervention_needed,confidence_note,overall_score,audience_score,alertness_score,reliability,copied_semantic_summary_md,copied_semantic_summary_json,copied_coaching_report_md,copied_coaching_report_json,copied_coaching_report_pdf,copied_summary_md,copied_summary_json,error
cs50_business_150_210,cs50 business 150 210,file:///workspace/clips/cs50_business_150_210.mp4,CS50,60.0,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,0,/workspace/TeacherEvaluation/evaluation/local_data/clips/cs50_business_150_210/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/cs50_business_150_210/run_20260318T004401Z,completed,llm_api_hybrid,3,False,"Face visibility is limited in parts of the clip, so eye-contact and facial-tone claims are less certain.",46.565551533538326,45.93127752221568,75.0765472474897,,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/cs50_business_150_210/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/cs50_business_150_210/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/cs50_business_150_210/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/cs50_business_150_210/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/cs50_business_150_210/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/cs50_business_150_210/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/cs50_business_150_210/summary_full.json,
mit_ocw_aero_300_360,mit ocw aero 300 360,file:///workspace/clips/mit_ocw_aero_300_360.mp4,MIT OCW,59.99,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,1,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_aero_300_360/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_aero_300_360/run_20260318T004519Z,completed,llm_api_hybrid,3,False,"Face visibility is limited in parts of the clip, so eye-contact and facial-tone claims are less certain.",38.28507461975439,47.97278044799681,71.69347034402506,,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_aero_300_360/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_aero_300_360/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_aero_300_360/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_aero_300_360/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_aero_300_360/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_aero_300_360/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_aero_300_360/summary_full.json,
mit_ocw_brain_300_360,mit ocw brain 300 360,file:///workspace/clips/mit_ocw_brain_300_360.mp4,MIT OCW,59.99,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,2,/workspace/TeacherEvaluation/evaluation/local_data/clips/mit_ocw_brain_300_360/clip.mp4,ok,/workspace/TeacherEvaluation/evaluation/local_data/runs/gemini_flash_local/mit_ocw_brain_300_360/run_20260318T004639Z,completed,llm_api,2,False,"Hand visibility drops in parts of the clip, so gesture labels are less certain.",59.551382254927425,80.67481951681785,90.99201402796058,,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_brain_300_360/semantic_summary.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_brain_300_360/semantic_summary.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_brain_300_360/teacher_coaching_report.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_brain_300_360/teacher_coaching_report.json,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_brain_300_360/teacher_coaching_report.pdf,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_brain_300_360/summary_full.md,/workspace/TeacherEvaluation/evaluation/runtime_batches/local_flash_full_live/reports/mit_ocw_brain_300_360/summary_full.json,
