clip_id,title,url,channel,duration_sec,selection_reason,priority_tier,start_hint_sec,extraction_policy,notes,goldset_candidate,manifest_index
cs50_business_150_210,cs50 business 150 210,file:///workspace/clips/cs50_business_150_210.mp4,CS50,60.0,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,0
mit_ocw_aero_300_360,mit ocw aero 300 360,file:///workspace/clips/mit_ocw_aero_300_360.mp4,MIT OCW,59.99,workspace_local_clip,A,0.0,pre_extracted_60s_clip,Registered from /workspace/clips for fast validation and frontend debugging.,True,1
